Name,Job/Est Date (next service date),Status,Customer,Service Location,Gallons,Notes For Techs,Frequency
Amari Dinkins,01/08/2026,Dispatched,DKW-Applebee's #1025138,"505 N Belair Rd Evans, GA 30809",500, hose: Tanker:   ServiceTime: ,4
Amari Dinkins,03/05/2026,Scheduled,DKW-Applebee's #1025138,"505 N Belair Rd Evans, GA 30809",500, hose: Tanker:   ServiceTime: ,4
Amari Dinkins,01/27/2026,Dispatched,DKW-Applebee's #1130,"437 Killian Rd Columbia, South Carolina 29203-9608",1000,,12
Amari Dinkins,01/22/2026,Dispatched,DKW-Applebee's #1133,"4505 DEVINE ST COLUMBIA, SC ",1000,Schedule with Marc Thomas- City of Columbia  803-528-4540,12
Amari Dinkins,01/06/2026,Dispatched,DKW-Applebee's #1144,"5185 FERNANDINA RD COLUMBIA, SC ",1000,,12
Amari Dinkins,01/26/2026,Dispatched,DKW-Applebee's #1145,"605 COLUMBIA AVE LEXINGTON, SC ",1500,,12
Amari Dinkins,01/28/2026,Scheduled,DKW-Applebee's #1146,"2360 CHESTNUT ST ORANGEBURG, SC ",1000,,12
Amari Dinkins,01/08/2026,Closed and Complete,DKW-Applebee's #1149,"203 S FIFTH ST HARTSVILLE, SC ",1500,,12
Amari Dinkins,01/02/2026,Dispatched,DKW-Applebee's #1150,"640 REMBERT C DENNIS BLVD MONCKS CORNER, SC ",1500,,12
Amari Dinkins,01/08/2026,Dispatched,DKW-Applebee's #1153,"2815 AUGUSTA ROAD WEST COLUMBIA, SC ",1000,,12
Amari Dinkins,03/03/2026,Scheduled,DKW-Applebee's #8511,"2125 Windsor Spring Rd Augusta, GA 30906",, hose: Tanker:   ServiceTime: ,14
Amari Dinkins,02/04/2026,Scheduled,DKW-Arby's #8858,"1066 Edgefield Rd North Augusta, SC 29860",, hose: Tanker:   ServiceTime: ,14
Amari Dinkins,01/16/2026,Scheduled,DKW-BCS - College Park Elementary School,"100 Davidson Drive Ladson, SC 29456",1500, hose: Tanker:   ServiceTime: ,24
Amari Dinkins,01/17/2026,Dispatched,DKW-BCS - H.E. Bonner Elementary School,"171 Macedonia Foxes Circle Moncks Corner, SC 29461",1500, hose: Tanker:   ServiceTime: ,24
Amari Dinkins,01/17/2026,Dispatched,DKW-BCS - Macedonia Middle School,"200 Macedonia Foxes Circle Moncks Corner, SC 29461",1500, hose: Tanker:   ServiceTime: ,24
Amari Dinkins,01/17/2026,Dispatched,DKW-BCS - Moncks Corner Elementary,"777 Stoney Landing Road Moncks Corner, SC 29461",1500, hose: Tanker:   ServiceTime: ,24
Amari Dinkins,01/24/2026,Dispatched,DKW-BCS - Philip Simmons High School,"3080 River Village Drive Charleston, SC 29492",6000, hose: Tanker:   ServiceTime: ,24
Amari Dinkins,01/15/2026,Dispatched,DKW-BCS - St. Stephen Elementary School,"1053 Russellville Road Saint Stephen, SC 29479",1500, hose: Tanker:   ServiceTime: ,24
Amari Dinkins,01/17/2026,Dispatched,DKW-BCS - St. Stephen Middle School,"225 Carolina Drive Saint Stephen, SC 29479",1500, hose: Tanker:   ServiceTime: ,24
Amari Dinkins,01/15/2026,Dispatched,DKW-BCS - Timberland High School,"1418 Gravel Hill Road Saint Stephen, SC 29479",3000, hose: Tanker:   ServiceTime: ,24
Amari Dinkins,01/15/2026,Dispatched,DKW-BCS - Westview Elementary School,"100 Westview Drive Goose Creek, SC 29445",1500, hose: Tanker:   ServiceTime: ,24
Amari Dinkins,01/15/2026,Dispatched,DKW-BCS - Westview Primary School,"98 Westview Drive Goose Creek, SC  29445",1500, hose: Tanker:   ServiceTime: ,24
Amari Dinkins,01/12/2026,Dispatched,DKW-Bellis House Of Pizza,"Bellis House Of Pizza100 Old Cherokee Rd Lexington, SC 29072",1000,"GT in rear of building between the two walk in coolers.  Please service before 10 am.

If you have any issues, Please call Tryfon @ 803-447-5353.",12
Amari Dinkins,03/05/2026,Scheduled,DKW-Biscuitville #223,"DKW-Biscuitville #2232715 Clemson Road Columbia, SC 29229",1500,,12
Amari Dinkins,02/05/2026,Scheduled,DKW-Blue Marlin,"1200 Lincoln St. Columbia, SC 29201",1000,"second building in between the holly bushes covered by mulch on the left side of the front door  - park truck on brick road hose:60 Tanker: Yes   ServiceTime: early am before opening

Schedule with Markus Myers ‪(803) 297-1444‬",8
Amari Dinkins,03/24/2026,Scheduled,DKW-Bojangles #2065,"2711 Highway 52 Moncks Corner, SC 29461",1500,"100 ft hose 
early am",12
Amari Dinkins,03/16/2026,Scheduled,DKW-Bojangles #2068,"2515 North Rd Orangeburg, SC 29118",1500,,12
Amari Dinkins,01/19/2026,Dispatched,DKW-Bojangles #468,"1221 N Main St Summerville, SC 29483",4000, hose: Tanker:   ServiceTime: ,16
Amari Dinkins,02/11/2026,Dispatched,DKW-Bojangles #513,"230 Blythewood Rd Blythewood, SC 29016",, hose: Tanker:   ServiceTime: ,12
Amari Dinkins,01/29/2026,Dispatched,DKW-Bojangles #525,"151 Harbison Blvd Columbia, SC 29212",1000,,12
Amari Dinkins,01/01/2026,Dispatched,DKW-Bojangles #542,"1045 S Lake Blvd Lexington, SC 29072",1000,back center in mulch hose: Tanker:   ServiceTime: ,12
Amari Dinkins,03/26/2026,Scheduled,DKW-Bojangles #542,"1045 S Lake Blvd Lexington, SC 29072",1000,back center in mulch hose: Tanker:   ServiceTime: ,12
Amari Dinkins,01/21/2026,Dispatched,DKW-Bojangles #579,"3021 Charleston Hwy West Columbia, SC 29172",1500, hose: Tanker:   ServiceTime: ,16
Amari Dinkins,01/28/2026,Dispatched,DKW-Bojangles #660,"8710 Farrow Rd Columbia, SC 29203",1000,PARKING AREA hose:50 FT Tanker: YES  ServiceTime: ANYTIME,8
Amari Dinkins,01/15/2026,Dispatched,DKW-Bojangles #854,"444 N Highway 52 Moncks Corner, SC 29461",1500, hose:Not specified Tanker: Unknown  ServiceTime: ,8
Amari Dinkins,01/29/2026,Dispatched,DKW-Bojangles #884,"4863 Augusta Rd Lexington, SC 29073",1700,front center in parking lot hose: Tanker:   ServiceTime: ,16
Amari Dinkins,01/21/2026,Dispatched,DKW-Bojangles #916,"3301 Platt Springs Rd West Columbia, SC 29170",1500,left side  in the driveway from Wattling Road hose: Tanker:   ServiceTime: ,16
Amari Dinkins,01/21/2026,Dispatched,DKW-Bojangles #920,"2865 Sunset Blvd West Columbia, SC 29169",1500,,12
Amari Dinkins,01/28/2026,Scheduled,DKW-Bojangles #952,"3624 Saint Matthews Rd Orangeburg, SC 29118",1500, hose: Tanker:   ServiceTime: ,16
Amari Dinkins,01/14/2026,Dispatched,DKW-Bojangles #958,"3655 Ladson Rd Ladson, SC 29456",2000,outback of store hose:50 ft Tanker: yes  ServiceTime: early,16
Amari Dinkins,03/17/2026,Scheduled,DKW-Buffalo Wild Wings #0369,"5570 Sunset Blvd Lexington, SC 29072",1000,,12
Amari Dinkins,02/17/2026,Scheduled,DKW-Buffalo Wild Wings #0371,"2599 David Mcleod Blvd Florence, SC 29501",1500,out back will see dumpsters hose: Tanker: yes  ServiceTime: anytime,16
Amari Dinkins,02/26/2026,Scheduled,DKW-Buffalo Wild Wings #0718,"21 Bluffton Rd # 100 Bluffton, SC 29910",3000,,12
Amari Dinkins,01/12/2026,Dispatched,DKW-Columbiana Centre Carousel,"100 Columbiana Cir Columbia, SC 29212",5500,,12
Amari Dinkins,03/17/2026,Dispatched,DKW-Cracker Barrel #0069,"1824 W Lucas St Florence, SC 29501-1230",1500,,12
Amari Dinkins,03/16/2026,Scheduled,DKW-Cracker Barrel #0446,"699 Citadel Rd 29118-9720, SC 29118-9720",1500,,12
Amari Dinkins,01/19/2026,Dispatched,DKW-Crumbl - Summerville,"214 Azalea Square Ste F Summerville, SC 29483",1500,,12
Amari Dinkins,02/28/2026,Scheduled,DKW-CSD - Crowders Creek Elementary School,"5515 Charlotte Highway Clover, SC 29710",1000, hose: Tanker:   ServiceTime: ,12
Amari Dinkins,03/31/2026,Scheduled,DKW-CSD - Crowders Creek Elementary School,"5515 Charlotte Highway Clover, SC 29710",1000, hose: Tanker:   ServiceTime: ,12
Amari Dinkins,01/22/2026,Dispatched,DKW-Culinary Institute of the South at TCL,"1 Venture Dr Bluffton, SC 29910",2000,,12
Amari Dinkins,01/13/2026,Dispatched,DKW-Doc's BBQ,"1601 Shop Rd Columbia, SC 29201",1000,"Service before 11 am or after 2:30 pm
Front of building
Contact City of Columbia Inspector prior to service Marcus Myers",12
Amari Dinkins,01/12/2026,Dispatched,DKW-Don Tequila,"114 Afton Court Columbia, SC 29212",1500,back left corner hose: Tanker:   ServiceTime: ,8
Amari Dinkins,01/22/2026,Dispatched,DKW-DSD2 - Ashley Ridge High School,"9800 Delemar Highway Summerville, SC 29485",2- 2000 gallon traps,Impact gun and crow bar to open trap lid in grass hose: Tanker:   ServiceTime: ,8
Amari Dinkins,01/22/2026,Dispatched,DKW-DSD2 - Beech Hill Elementary,"1001 Beech Hill Road Summerville, SC 29485",1000, hose: Tanker:   ServiceTime: ,8
Amari Dinkins,02/18/2026,Scheduled,DKW-DSD2 - Dr. Eugene Sires Elementary,"301 Chandler Creek Road Summerville, SC 29485",3000, hose: Tanker:   ServiceTime: ,8
Amari Dinkins,03/18/2026,Scheduled,DKW-DSD2 - Dr. Eugene Sires Elementary,"301 Chandler Creek Road Summerville, SC 29485",3000, hose: Tanker:   ServiceTime: ,8
Amari Dinkins,01/22/2026,Dispatched,DKW-DSD2 - DuBose Middle School,"1005 DuBose School Road Summerville, SC 29483",1000,,12
Amari Dinkins,01/22/2026,Dispatched,DKW-DSD2 - East Edisto Middle,"1011 Beech Hill Road Summerville, SC 29485",3000,,12
Amari Dinkins,03/10/2026,Scheduled,DKW-DSD2 - East Edisto Middle,"1011 Beech Hill Road Summerville, SC 29485",3000,,12
Amari Dinkins,02/27/2026,Scheduled,DKW-DSD2 - Flowerton/ Newington Elementary,"20 King Charles Circle Summerville, SC 29485",4000," hose: Tanker:   ServiceTime: 
2-2000 gallon traps",12
Amari Dinkins,01/22/2026,Dispatched,DKW-DSD2 - Fort Dorchester Elementary,"5201 Old Glory Lane Summerville, SC 29485",1500,,12
Amari Dinkins,03/16/2026,Scheduled,DKW-DSD2 - Oakbrook Elementary School,"306 Old Fort Drive Ladson, SC 29456",1000,,12
Amari Dinkins,02/16/2026,Scheduled,DKW-DSD2 - Oakbrook Middle School,"286 Old Fort Drive Ladson, SC 29456",1000,,12
Amari Dinkins,03/16/2026,Scheduled,DKW-DSD2 - Oakbrook Middle School,"286 Old Fort Drive Ladson, SC 29456",1000,,12
Amari Dinkins,01/22/2026,Dispatched,DKW-DSD2 - Sand Hill Elementary/ rollings Middle School of the Arts,"324 Gnarly Oak Lane Summerville, SC 29485",2- 1500, hose: Tanker:   ServiceTime: ,8
Amari Dinkins,03/18/2026,Scheduled,DKW-DSD2 - Spann Elementary School,"901 John McKissick Way Summerville, SC 29483",1000, hose: Tanker:   ServiceTime: ,8
Amari Dinkins,01/06/2026,Dispatched,DKW-DSD2 - Summerville High School,"1101 Boone Hill Road Summerville, SC 29483",2000," hose: Tanker:   ServiceTime: 
Two 1000 gallon traps",8
Amari Dinkins,03/31/2026,Scheduled,DKW-DSD2 - Summerville High School,"1101 Boone Hill Road Summerville, SC 29483",2000," hose: Tanker:   ServiceTime: 
Two 1000 gallon traps",8
Amari Dinkins,01/22/2026,Dispatched,DKW-DSD2 - William Reeves Elementary School,"1003 DuBose School Road Summerville, SC 29483",2000, hose: Tanker:   ServiceTime: ,8
Amari Dinkins,01/26/2026,Dispatched,DKW-Five Guys #72 - Sandhills,"460 Town Center Place Columbia, SC 29229",1500, hose: Tanker:   ServiceTime: ,8
Amari Dinkins,02/26/2026,Scheduled,DKW-Five Guys #72 - Sandhills,"460 Town Center Place Columbia, SC 29229",1500, hose: Tanker:   ServiceTime: ,8
Amari Dinkins,03/26/2026,Scheduled,DKW-Five Guys #72 - Sandhills,"460 Town Center Place Columbia, SC 29229",1500, hose: Tanker:   ServiceTime: ,8
Amari Dinkins,01/29/2026,Dispatched,DKW-Freddy's Steakburgers,"457 Killian Rd Columbia, SC 29203",1500, hose: Tanker:   ServiceTime: ,12
Amari Dinkins,03/26/2026,Scheduled,DKW-Freddy's Steakburgers,"457 Killian Rd Columbia, SC 29203",1500, hose: Tanker:   ServiceTime: ,12
Amari Dinkins,01/28/2026,Dispatched,DKW-GCSD-FANS-GREENVILLE ACADEMY MIDDLE,"DKW-GCSD-FANS-GREENVILLE ACADEMY MIDDLE329 LOWNDES AVENUE GREENVILLE, SC 29607",4000,in grass area by door,12
